	case_id	known_o	article	pred_o	violated_x	vote	importance	unanimous	key_case	known_i	pred_i	violated_y	meta	interAnno_f1_0	interAnno_k_0	interAnno_f1_1	interAnno_k_1	allegations	violations	Unnamed: 3	Unnamed: 4	numPar
0	001-193590	0	3	1	1	0	2	1	0	0	1	1	1	0.39007092200000004	0.1821985546	0.40234375	0.2951474201	3	3			49
1	001-193614	0	5	1	1	0	2	1	0	0	1	1	1	0.3123425693	0.2152743997	0.33195020750000004	0.2750351099	5,6,8	5,8			26
2	001-193614	0	6	0	0	0	2	1	0	0	1	0	0	0.0	-0.010897564200000001	0.0	-0.0054477207	5,6,8	5,8			26
3	001-193614	0	8	1	1	0	2	1	0	0	1	1	1	0.41975308640000003	0.2821307048	0.4314868805	0.35473196560000003	5,6,8	5,8			26
4	001-194439	0	2	1	1	0	2	1	0	0	0	1	1	0.4019399818	0.2170475296	0.4045307443	0.3131585556	2, 3, 6, 14, P1-1	2			71
5	001-194439	0	3	0	0	0	2	1	0	0	0	0	0	0.127064803	0.1012693526	0.12747252750000002	0.1133028849	2, 3, 6, 14, P1-1	2			71
6	001-194439	0	6	0	0	0	2	1	0	0	0	0	0	0.0	-0.0219755757	0.0	-0.0118722971	2, 3, 6, 14, P1-1	2			71
7	001-194439	0	14	0	0	0	2	1	0	0	0	0	0	0.0	0.0	0.0	0.0	2, 3, 6, 14, P1-1	2			71
8	001-194439	0	P1-1	0	0	0	2	1	0	0	0	0	0	0.0	0.0	0.0	0.0	2, 3, 6, 14, P1-1	2			71
9	001-194614	0	6	0	0	0	2	1	0	0	0	0	1	0.5673870334000001	0.3292967794	0.5764872521000001	0.4741479959	6	0			57
10	001-195544	0	2	1	1	0	key	1	1	0	1	1	1	0.1188328912	0.044435725200000005	0.1323106424	0.0914310212	2	2			129
11	001-196374	0	5	0	0	0	2	1	0	0	0	0	1	0.25379609540000003	0.17619342640000002	0.2867924528	0.24501259760000002	5,6	6			83
12	001-196374	0	6	1	1	0	2	1	0	0	1	1	1	0.0680437424	0.0110151642	0.0855855856	0.0529184756	5,6	6			83
13	001-200839	0	6	0	0	6:1	2	0	0	0	0	0	1	0.1161048689	0.08272876130000001	0.1493506494	0.1275648258	6,10	0			51
14	001-200839	0	10	0	0	6:1	2	0	0	0	0	0	1	0.4396067416	0.2511585766	0.4556354916	0.36068218	6,10	0			51
15	001-200866	0	6	1	1	0	2	1	0	0	1	1	1	0.039215686300000004	0.0043289236	0.049079754600000004	0.0297966996	6, P1-1	6, P1-1			20
16	001-200866	0	P1-1	1	1	0	2	1	0	0	1	1	1	0.1361702128	0.0408543788	0.1544401544	0.1007838746	6, P1-1	6, P1-1			20
17	001-201331	0	P1-1	0	0	0	2	1	0	0	0	0	1	0.3083333333	0.20110407300000002	0.3580952381	0.3057631824	P1-1	0			42
18	001-201646	0	3	0	0	0	key	1	1	0	0	0	1	0.3176733781	0.2033836266	0.347985348	0.2866260228	3, 8, 14	0			34
19	001-201646	0	8	0	0	5:2	key	0	1	0	0	0	1	0.3252336449	0.1790490904	0.3573573574	0.27790945040000004	3, 8, 14	0			34
20	001-201646	0	14	0	0	0	key	1	1	0	0	0	1	0.1694915254	0.056960000000000004	0.1954261954	0.12867071530000002	3, 8, 14	0			34
21	001-201649	0	9	0	0	4:3	2	0	0	0	0	0	1	0.49376558600000003	0.3720163222	0.5657370518	0.5054376611	9	0			25
22	001-201890	0	P1-1	1	1	0	2	1	0	1	1	1	1	0.3050108932	0.14970369120000002	0.3282442748	0.2496573795	P1-1, 8, 10	P1-1, 10			17
23	001-201890	0	8	0	0	0	2	1	0	1	0	0	0	0.2405063291	0.1909938616	0.27848101270000003	0.2569062964	P1-1, 8, 10	P1-1, 10			17
24	001-201890	0	10	1	1	0	2	1	0	1	1	1	1	0.1888888889	0.1072589728	0.2211538462	0.17208216040000002	P1-1, 8, 10	P1-1, 10			17
25	001-202115	0	2	1	1	0	2	1	0	0	1	1	1	0.22468513850000002	0.1601805019	0.2401433692	0.20539460040000002	2	2			109
26	001-203165	0	9	0	1	0	key	1	1	0	0	1	1	0.33766233770000004	0.072861059	0.3622047244	0.23994638070000002	9,8	9			6
27	001-203165	0	8	0	0	0	key	1	1	0	0	0	0	0.3933054393	0.12260481200000001	0.4	0.2777777778	9,8	9			6
28	001-204603	0	2	1	1	6:1	key	0	1	0	0	1	1	0.4557791296	0.18052931120000001	0.4785478548	0.3555541132	2	2			34
29	001-204835	0	6	1	1	0	2	1	0	0	1	1	1	0.11877394640000001	0.0720039549	0.12969283280000002	0.1027115028	6,10	6, 10			48
30	001-204835	0	10	1	1	0	2	1	0	0	1	1	1	0.28699551570000004	0.1561691931	0.3049095607	0.2360184506	6,10	6, 10			48
31	001-205133	0	9	0	0	4:3	2	0	0	0	0	0	1	0.5261813538	0.2388191302	0.5546218487	0.4430888821	9	0			36
32	001-206369	0	5	1	1	0	key	1	1	0	1	1	1	0.3927710843	0.2241433247	0.41904761900000004	0.3335140005	5	5			33
33	001-207360	0	3	1	1	0	key	1	1	0	0	1	1	0.2556917688	0.1958671871	0.22822822820000002	0.19641225180000002	3,8,14	3, 14			42
34	001-207360	0	8	0	0	0	key	1	1	0	0	0	0	0.044247787600000005	0.0229490493	0.031496063000000005	0.0214218145	3,8,14	3, 14			42
35	001-207360	0	14	1	1	0	key	1	1	0	0	1	1	0.05	0.0191506648	0.0600858369	0.0362197535	3,8,14	3, 14			42
36	001-207633	0	14	1	1	0	key	1	1	0	1	1	1	0.3908450704	0.1345788592	0.3981481481	0.2768726154	14, P1-1	14,P1-1			30
37	001-207633	0	P1-1	1	1	0	key	1	1	0	1	1	1	0.5253378378	0.3054859827	0.5512265512	0.44918007320000003	14, P1-1	14,P1-1			30
38	001-207928	0	8	1	1	0	key	1	1	0	1	1	1	0.2640901771	0.12771093960000002	0.2911512845	0.22144946740000002	8, 14, 6	8, 14			77
39	001-207928	0	14	1	1	0	key	1	1	0	1	1	1	0.3122102009	0.1847080271	0.34265103700000005	0.27727954660000004	8, 14, 6	8, 14			77
40	001-207928	0	6	1	0	0	key	1	1	0	1	0	0	0.32773109240000003	0.3154501458	0.3065693431	0.29933566370000003	8, 14, 6	8, 14			77
41	001-210089	0	14	0	0	6:1	2	0	0	0	0	0	1	0.281829419	0.15147320720000002	0.29493087560000003	0.2307064242	14	0			26
42	001-210362	1	8	1	1	0	2	1	0	0	1	1	1	0.0754716981	0.06297459550000001	0.0949367089	0.0858855347	8,11,14	8,11,14			43
43	001-210362	1	11	1	1	0	2	1	0	0	1	1	1	0.47973856210000004	0.2995000384	0.4960718294	0.4072729269	8,11,14	8,11,14			43
44	001-210362	1	14	1	1	5:2	2	0	0	0	1	1	1	0.3220512821	0.1936168936	0.3409490334	0.27321774660000003	8,11,14	8,11,14			43
45	001-210463	1	2	0	0	10:7	key	0	1	0	0	0	1	0.32270347450000003	0.1127472078	0.3318140383	0.2375277281	2, 14	0			46
46	001-210463	1	14	0	0	0	key	1	1	0	0	0	0	0.1930585683	0.1030086077	0.20762711860000002	0.1639980556	2, 14	0			46
47	001-210469	0	2	1	0	0	2	1	0	1	1	0	0	0.0	0.0	0.0	0.0	2, 3	3			75
48	001-210469	0	3	1	1	0	2	1	0	1	1	1	1	0.4384615385	0.2716339184	0.4565425024	0.3732091691	2, 3	3			75
49	001-212158	0	10	0	0	0	2	1	0	0	0	0	1	0.3665048544	0.2482761909	0.3817427386	0.3217195067	10	0			40
50	001-212692	0	14	1	0	0	2	1	0	0	0	0	1	0.5056360709000001	0.3152378292	0.5161290323000001	0.42992114800000003	14,6,P1-1	0			12
51	001-212692	0	6	0	0	0	2	1	0	0	0	0	1	0.2817869416	0.18081248400000002	0.2876712329	0.24202381280000002	14,6,P1-1	0			12
52	001-212692	0	P1-1	1	0	0	2	1	0	0	0	0	1	0.3991596639	0.2764526746	0.3984962406	0.3356409978	14,6,P1-1	0			12
53	001-212970	0	8	1	1	0	2	1	0	0	1	1	1	0.53125	0.3507620164	0.5520361991	0.4734910338	8	8			42
54	001-213520	0	10	1	1	6:1	2	0	0	0	1	1	1	0.4444444444	0.3135493974	0.4767225326	0.4116025057	10	10			31
55	001-213908	1	11	0	0	5:2	key	0	1	0	1	0	1	0.6556016598000001	0.5409194997	0.6301369863	0.5635146731	11	0			9
56	001-215601	0	10	0	0	5:2	2	0	0	0	1	0	1	0.4819944598	0.27117373710000003	0.5070422535	0.4058112961	10	0			13
57	001-215604	0	8	1	0	0	2	1	0	0	0	0	1	0.4802110818	0.32874493930000004	0.4884792627	0.41227829260000004	8,14	0			20
58	001-215604	0	14	1	0	0	2	1	0	0	0	0	1	0.2554744526	0.1081132394	0.2631578947	0.1888028797	8,14	0			20
59	001-216177	0	2	0	0	0	2	1	0	1	0	0	1	0.0	0.0	0.0	0.0	2, 3	0			14
60	001-216177	0	3	1	0	0	2	1	0	1	0	0	1	0.5487804878	0.3383517643	0.5714285714	0.4805896893	2, 3	0			14
61	001-216626	0	6	1	1	0	2	1	0	0	1	1	1	0.3787103378	0.2494526688	0.38502673800000004	0.3167754371	6, 14	6, 14			43
62	001-216626	0	14	1	1	0	2	1	0	0	1	1	1	0.0	-0.057313016300000005	0.0	-0.0315524473	6, 14	6, 14			43
63	001-216937	0	10	1	1	0	2	1	0	0	1	1	1	0.3246753247	0.16475983460000002	0.354679803	0.2765994378	10, 11	10, 11			32
64	001-216937	0	11	1	1	0	2	1	0	0	1	1	1	0.2990825688	0.1291079102	0.3157894737	0.2350703327	10, 11	10, 11			32
65	001-217264	0	8	0	0	5:2	2	0	0	0	1	0	1	0.38127090300000005	0.2054059863	0.3804034582	0.2875833249	8,9,14	0			23
66	001-217264	0	9	0	0	0	2	1	0	0	1	0	1	0.47974068070000003	0.3188670762	0.48695652170000003	0.4098508093	8,9,14	0			23
67	001-217264	0	14	0	0	5:2	2	0	0	0	1	0	1	0.3290488432	0.2157521937	0.36190476190000004	0.308341741	8,9,14	0			23
68	001-218020	0	5	0	0	0	2	1	0	0	0	0	1	0.3870503597	0.1638730777	0.4127388535	0.30860608900000003	5, 6, 14	0			24
69	001-218020	0	6	0	0	0	2	1	0	0	0	0	0	0.0	0.0	0.0	0.0	5, 6, 14	0			24
70	001-218020	0	14	0	0	0	2	1	0	0	0	0	0	0.0	0.0	0.0	0.0	5, 6, 14	0			24
71	001-218116	0	11	0	0	5:2	2	0	0	1	0	0	1	0.4578884935	0.2967782969	0.46575342470000003	0.37872026010000004	11	0			23
72	001-218117	0	10	1	1	0	2	1	0	0	1	1	1	0.3487179487	0.2047780955	0.368902439	0.2958304567	10	10			30
